epoch,positional_disent,bag_of_symbol_disent,topographic_sim
1000,0.19073812663555145,0.21474547684192657,0.5162813976746038
253,0.17468534409999847,0.15132580697536469,0.3722621996760527
208,0.2324579507112503,0.16068264842033386,0.5063430201372111
82,0.40262559056282043,0.24304944276809692,0.6132656215697092
1000,0.19285155832767487,0.24649667739868164,0.3659553639501565
118,0.22406615316867828,0.11379648745059967,0.3055728666150012
18,0.11693843454122543,0.12604160606861115,0.41396963837030615
559,0.39812588691711426,0.26727497577667236,0.5957106211791597
1000,0.36415529251098633,0.11654982715845108,0.3654721107649222
351,0.6051251888275146,0.45057469606399536,0.7448838136413138
963,0.17213423550128937,0.1886962503194809,0.33898318572418584
1000,0.030639618635177612,0.1965087354183197,0.3627916747986697
569,0.1777380257844925,0.18684892356395721,0.4649824539813582
54,0.1885833591222763,0.1095336303114891,0.3973015864156171
1000,0.25337567925453186,0.17461232841014862,0.41386511128271863
162,0.1290595978498459,0.27834951877593994,0.5036419477522164
1000,0.23076117038726807,0.30397894978523254,0.3349450439708204
53,0.21501143276691437,0.24945005774497986,0.5406378591535725
21,0.08032802492380142,0.09727441519498825,0.5087916206950178
1000,0.28017857670783997,0.26034310460090637,0.48460379723015135
741,0.13857658207416534,0.18282660841941833,0.34199994446242643
103,0.19908516108989716,0.16363947093486786,0.41600459768037595
45,0.0985194519162178,0.1305839568376541,0.424186590155319
471,0.07108721882104874,0.09982463717460632,0.38429157709813677
1000,0.3573288917541504,0.12705790996551514,0.37506344294425287
459,0.1685895472764969,0.2211562842130661,0.5184433002847748
19,0.10362181812524796,0.22425153851509094,0.41792052368294025
1000,0.4679272174835205,0.49461808800697327,0.6385466259543274
225,0.08961260318756104,0.13684087991714478,0.41832932824157787
324,0.18599899113178253,0.19769908487796783,0.45079767869029264
166,0.4424400329589844,0.4203013777732849,0.6889815497668699
20,0.3440462052822113,0.18869352340698242,0.6689637853271481
1000,0.21321026980876923,0.17601126432418823,0.33252249940722645
1000,0.5662071108818054,0.48488330841064453,0.519077213623413
103,0.03585091233253479,0.11468570679426193,0.4430176768032521
52,0.16576369106769562,0.1661543846130371,0.4126724102151498
