epoch,positional_disent,bag_of_symbol_disent,topographic_sim
1000,0.3213818371295929,0.13778311014175415,0.4005512743753108
656,0.16501832008361816,0.20540326833724976,0.4973327387663146
1000,0.10188864916563034,0.14436274766921997,0.45117535139783915
1000,0.356865793466568,0.2901610732078552,0.642823030159729
23,0.15901923179626465,0.27382394671440125,0.5015357786255941
1000,0.1889614313840866,0.12999431788921356,0.41896576877210184
131,0.22699517011642456,0.2554836571216583,0.5217988331474327
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
10,0.046617645770311356,0.08940768241882324,0.3020211443253267
